AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,AP34,AP35,AP36,AP37,AP38,AP39,AP40,AP41,AP42,AP43,AP44,AP45,AP46,AP47,AP48,AP49,Room
-65,-83,0,-58,-86,0,0,0,0,0,-90,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-89,0,0,0,0,-80,0,0,0,-77,-75,-64,-77,-69,0,5301
-57,-80,-71,-54,-84,0,0,0,0,0,0,0,0,0,-89,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,-80,0,0,0,0,-82,0,0,0,0,-77,-69,-73,-50,0,5311
-58,0,-67,-53,-84,0,0,0,0,0,-89,0,0,0,-88,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-86,0,0,0,0,-77,0,0,-78,0,-73,-70,0,0,0,5311
0,0,-68,-55,-85,0,0,-87,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,-82,0,0,0,0,0,0,0,0,0,-80,-73,0,-50,-62,5311
-45,-80,-59,-55,-85,0,0,-87,-90,0,-90,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-64,-81,0,0,0,0,-84,0,0,0,0,-84,-76,0,0,-52,5311
-45,0,-67,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-60,-75,0,0,0,0,0,0,0,0,0,-83,-71,0,0,0,536
-51,0,-76,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-66,-76,0,-86,0,0,0,0,0,0,-78,-86,-80,0,-47,-61,536
-42,0,-72,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,-81,0,-63,-76,-81,-89,0,0,-89,0,0,0,0,-89,-78,-81,-55,0,536
-51,0,-75,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,-74,-73,-61,-73,-85,-87,0,-82,0,0,0,0,0,0,-82,0,-59,0,536
-49,0,-73,-60,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,-60,-67,-79,-84,0,0,0,0,0,0,0,0,-82,0,-64,0,536
