AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,Room
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,-55,-70,-56,-69,-83,-82,-66,0,0,2231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,-74,-67,-62,-69,-47,-64,-74,-74,-72,0,0,2231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,-83,-74,-65,-74,-51,-73,0,-70,-73,0,0,2231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,-73,-61,-71,-54,0,-69,-60,-64,0,0,2241
0,0,0,0,0,0,0,0,0,0,0,0,-93,0,-75,0,0,-92,0,0,0,0,-79,0,-57,-74,-52,-73,-73,-72,0,0,0,2241
0,0,0,0,0,0,0,0,0,0,0,0,-92,0,-73,0,0,0,0,0,0,0,-80,-72,-59,-71,-53,-75,-67,-64,0,0,0,2241
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,-78,0,-57,-74,-62,-78,-73,-66,-58,0,0,2251
0,0,0,0,0,0,0,0,0,0,0,0,-91,0,0,-85,0,0,0,0,0,0,0,-73,-61,-84,-60,-80,-60,-58,-58,0,0,2251
0,0,0,0,0,0,0,0,0,0,0,0,-88,0,-70,-76,0,0,0,-86,0,0,-81,-77,-53,-70,-64,-65,-56,-53,-59,0,0,2251
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-83,0,0,0,0,0,0,-82,-72,-58,-74,-60,0,-57,-54,-51,0,0,2261
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,-81,0,0,0,-84,0,0,-80,-69,-70,-83,-69,0,-57,-57,0,0,0,2261
0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-68,-82,0,0,0,-84,0,0,-80,-77,-66,-77,-69,0,-57,-56,-54,0,0,2261
0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-61,-81,0,0,0,-83,0,0,-76,0,-63,-77,0,0,-50,-71,-68,0,0,2271
0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,-79,0,0,0,-79,0,0,-79,0,-59,-79,0,0,-44,-69,-62,0,0,2271
0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-70,0,0,0,0,-84,0,0,-74,-75,-59,-80,-64,-81,-55,-61,-65,0,0,2271
0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,-77,0,0,0,-83,0,0,-80,-74,-60,-73,-74,0,-51,-70,-62,0,0,2271
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,-49,-66,0,-75,0,-72,0,0,-71,-75,-51,0,-70,0,-49,-64,-65,0,0,2281
0,0,0,0,0,0,0,0,0,0,0,0,-79,-65,-47,-64,-61,-74,0,-64,0,0,-72,-72,-55,-75,0,0,-49,-67,-68,0,0,2281
0,0,0,0,0,0,0,0,0,0,0,0,-76,-68,-49,-62,-73,-81,-72,-73,0,0,-72,0,-58,0,-74,0,-50,-65,-68,0,0,2281
0,0,0,0,0,0,0,0,0,0,0,0,-79,-61,-51,-61,-65,-73,0,-74,0,0,-73,0,-50,-79,0,0,-50,-63,0,0,0,2281
0,0,0,0,0,0,0,0,0,0,0,0,-87,-70,-46,-64,-52,-70,0,-80,0,-86,0,0,-70,0,0,0,-70,-71,0,0,0,2291
0,0,0,0,0,0,0,0,0,0,0,0,-83,-76,-47,-67,-66,-80,0,-74,0,-85,-82,0,-68,0,0,0,-66,-81,0,0,0,2291
0,0,0,0,0,0,0,0,0,0,0,0,-77,-74,-46,-58,-72,-77,0,-72,0,-85,-81,0,-69,0,0,0,-61,-72,0,0,0,2291
0,0,0,0,0,0,0,0,0,0,0,0,-73,-77,-50,-65,-61,-70,0,-79,0,0,-72,0,-66,0,0,0,-59,-78,0,0,0,2291
0,0,0,0,0,0,0,0,0,0,0,0,-75,-77,-59,-68,0,-74,-74,-75,0,0,-83,0,-65,0,0,0,-73,0,0,0,0,2301
0,0,0,0,0,0,0,0,0,0,0,0,-77,-82,-66,-71,0,-79,0,-81,0,0,0,0,-71,0,0,0,-80,0,0,0,0,2301
0,0,0,0,0,0,0,0,0,0,0,0,-76,-77,-63,-77,-72,-81,0,-84,0,0,0,0,-72,0,0,0,-80,0,0,0,0,2301
0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-59,-64,-61,-73,0,-73,0,0,0,0,-70,0,0,0,-74,-85,0,0,0,2301
0,0,0,0,0,0,0,0,0,0,0,0,-84,-78,-67,-75,0,-78,0,-81,0,0,0,0,-82,0,0,0,-80,0,0,0,0,2301
0,0,0,0,0,0,0,0,0,0,0,0,-80,-79,-67,-71,0,-76,0,-76,0,0,0,0,-70,0,0,0,-79,-86,0,0,0,2301
0,0,0,0,0,0,0,0,0,0,0,0,-73,-82,-63,-71,-59,0,0,-77,0,0,0,0,-64,-86,0,0,-75,0,0,0,0,2301
