AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,AP34,AP35,AP36,AP37,AP38,AP39,AP40,AP41,AP42,AP43,AP44,Room
0,0,0,0,0,0,0,0,0,0,0,0,-45,-52,-60,0,0,0,-78,-74,-84,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412
0,0,0,0,0,0,0,0,0,0,0,0,-47,-50,-65,0,0,0,-79,-83,-90,-77,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412
0,0,0,0,0,0,0,-88,-85,0,0,0,-45,-42,-61,0,0,0,-78,-80,-87,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,-66,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,-71,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,-74,-72,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,-67,-64,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,-56,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,-65,-62,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,-68,-61,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,-74,-62,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,-66,-63,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
0,0,0,0,0,0,0,0,0,-77,0,-83,-79,-82,0,-66,-68,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4101
0,0,0,0,0,0,-83,0,-84,-73,0,-77,0,-82,0,-73,-68,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4101
0,0,0,0,0,0,0,-92,0,-79,0,-88,-67,-84,0,-73,-64,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4101
0,0,0,0,0,0,0,0,0,0,0,-73,-62,-69,0,-73,-60,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4101
0,0,0,0,0,0,0,0,-87,0,0,-77,-71,-84,0,-69,-63,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4101
0,0,0,0,0,0,-85,0,-82,-71,0,-81,-83,0,0,-57,-73,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091
0,0,0,0,0,0,0,-90,-86,-77,0,-68,0,0,0,-66,-80,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091
0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,-73,-76,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091
0,0,0,0,0,0,0,-92,0,-79,0,-69,-80,0,0,-71,-81,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091
0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,-66,-81,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091
0,0,0,0,0,0,0,0,-87,-72,0,-77,0,0,0,-71,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091
0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081
0,0,0,0,0,0,0,-88,0,-79,0,-76,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081
0,0,0,0,0,0,0,-87,-83,-69,-80,-85,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081
0,0,0,0,0,0,0,-83,0,-73,-71,-79,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081
0,0,0,0,0,0,0,0,0,-83,0,-78,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081
0,0,-84,0,-81,-80,0,-73,-74,-62,-68,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4071
